case,family,background,source_id,direction,model_feasible,assay_mean_feasible,assay_strict_feasible,feasible_states,normalizer,minimum_feasible_base_edits,exact_target_base_edits,factorized_invalid_mass,exact_target_assay_mean,exact_target_assay_strict,local_clause_count,blocking_run_clauses,blocking_run_complete,expected_regions_3_independent_draws,regions_3_exact_blocking_rounds
417e3659bfd55710,"AHR,CTCF,HNF4A",1,seq_156279,1,False,False,False,,,,,,,,,,,,
421d3ddf9c11e431,"AHR,GABPA,HNF4A",2,seq_155730,1,False,False,False,,,,,,,,,,,,
424e496c6c4ff047,"CEBPA,FOXA1,XBP1",1,seq_127025,1,True,True,True,2.0,0.010467671011169098,24.0,25.813752173503605,0.0,1.0,0.7984719807218217,1.0,1.0,True,1.0,1.0
426824968c98e9ac,"FOXA1,HNF4A,REST",1,seq_180431,-1,False,True,False,,,,,,,,,,,,
43150b2853049106,"CEBPA,SP1,TFAP2C",2,seq_131404,1,False,False,False,,,,,,,,,,,,
436e5dac9a87ec9a,"AP1,RXRA,TFAP2C",1,seq_151065,-1,False,True,True,,,,,,,,,,,,
43aeb5e84d8c596f,"CEBPA,FOXA1,XBP1",2,seq_127554,-1,False,False,False,,,,,,,,,,,,
43da2d173993475f,"CTCF,HNF4A,NR2F2",2,seq_156266,-1,False,False,False,,,,,,,,,,,,
445cf13bd81dd01e,"GABPA,HNF4A,PPARA",1,seq_155511,-1,False,False,False,,,,,,,,,,,,
4535cb68908c69d6,"GABPA,GABPA,HNF4A",2,seq_190442,1,False,False,False,,,,,,,,,,,,
454bed1a114bb5a8,"AHR,REST,SP1",2,seq_139932,-1,False,False,False,,,,,,,,,,,,
45520d57cee1220d,"CEBPA,SP1,TFAP2C",1,seq_131399,-1,True,True,True,1.0,0.06483587280197205,8.0,8.0,0.0,1.0,1.0,1.0,1.0,True,1.0,1.0
4552c8d6de272342,"ONECUT1,REST,TFAP2C",1,seq_146237,1,False,False,False,,,,,,,,,,,,
