case,family,background,source_id,direction,model_feasible,assay_mean_feasible,assay_strict_feasible,feasible_states,normalizer,minimum_feasible_base_edits,exact_target_base_edits,factorized_invalid_mass,exact_target_assay_mean,exact_target_assay_strict,local_clause_count,blocking_run_clauses,blocking_run_complete,expected_regions_3_independent_draws,regions_3_exact_blocking_rounds
00ad5cfc3bb35bb9,"AHR,CTCF,ONECUT1",2,seq_201072,-1,True,True,True,6.0,0.13065418003458235,10.0,14.21528935602934,0.20056393162842542,0.9999999999999998,0.8829395851362947,2.0,2.0,True,1.7012445407544272,2.0
00d2c50cce7ba802,"HNF4A,SP1,YY1",2,seq_133922,1,False,True,True,,,,,,,,,,,,
00f3f269cfc9d8b7,"CEBPA,HNF1A,HNF1A",2,seq_174288,1,False,False,False,,,,,,,,,,,,
011e7a3c154ca8e5,"RXRA,RXRA,SP1",2,seq_139164,1,False,True,True,,,,,,,,,,,,
017d6fba62320768,"AHR,CEBPA,PPARA",2,seq_130148,-1,True,False,False,1.0,0.008358142005832576,24.0,24.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0
02012a009a36f192,"CEBPA,FOXA1,TFAP2C",2,seq_131354,1,False,False,False,,,,,,,,,,,,
02c00643ca5006af,"AHR,CEBPA,PPARA",2,seq_130942,-1,False,True,False,,,,,,,,,,,,
031e262895b0c8bc,"AHR,AP1,SP1",2,seq_169872,-1,True,True,True,2.0,0.17624262256740142,1.0,2.75329457059511,0.0,0.13486881312270077,0.13486881312270077,1.0,1.0,True,1.0,1.0
0357f7f0f0999b2e,"CEBPA,FOXA1,RXRA",1,seq_156711,-1,False,False,False,,,,,,,,,,,,
03e692f976b0bd1f,"AHR,CEBPA,PPARA",1,seq_130941,-1,False,True,False,,,,,,,,,,,,
03f0653c76ef5483,"ONECUT1,ONECUT1,ONECUT1",1,seq_143183,1,True,True,False,1.0,0.0542311340308695,10.0,10.0,0.0,1.0,0.0,1.0,1.0,True,1.0,1.0
046e34eb724b8439,"CEBPA,YY1,YY1",2,seq_132510,-1,True,True,False,3.0,0.08303032841102251,10.0,13.164436703918335,0.3098309201113708,1.0,0.0,2.0,2.0,True,1.434687046457634,2.0
04890414dc9722e1,"HNF1A,NR2F2,YY1",2,seq_174544,1,False,True,False,,,,,,,,,,,,
